${status},$ {الحالة}
<b>Single</b>: Results which require only a single input.|||<br>|||<b>Compound</b>: Results which require multiple event inputs.|||<br>|||<b>Descriptive</b>: Tests which have multiple result components with manual result entry.|||<br>|||<b>Grouped</b>: Test templates which are a group of other test templates.|||<br>|||<b>No Result</b>: Tests with no results,<b> Single </b>: النتائج التي تتطلب فقط إدخالًا واحدًا. ||| <br> ||| <b> المركب </b>: النتائج التي تتطلب مدخلات حدث متعددة. ||| <br> || | <b> وصفية </b>: الاختبارات التي لها مكونات نتائج متعددة مع إدخال النتيجة اليدوية. ||| <br> ||| <b> لا توجد نتيجة </b>: الاختبارات بدون نتائج
<br><br><br>Creating Health ID <br>||| <small>Please note,<br> <br> <br> إنشاء معرف صحي <br> ||| <small> يرجى ملاحظة
<br><br><br>Getting Health ID,<br> <br> <br> الحصول على معرف صحي
<br><br>Searching...,<br> <br> البحث ...
<br><br>Verifying OTP... <br>||| <small>Please note,<br> <br> التحقق من OTP ... <br> ||| <small> يرجى ملاحظة
<br><br>Verifying...,<br> <br> التحقق ...
Activity Duration,مدة النشاط
Add Video Conferencing,أضف مؤتمرات الفيديو
Admission Instructions,تعليمات دخول المرضي
Admission Nursing Checklist Template,قالب قائمة مراجعة التمريض للمرضى الداخلي
Alerts,تنبيهات
Allow Booking For,السماح بالحجز ل
Allow Video Conferencing,السماح مؤتمرات الفيديو
Appointment Based On Check In,موعد بناء على تسجيل الوصول
Appointment For,موعد لـ
Authorization,صلاحية
Billing & Accounts,الفواتير والحسابات
Cancel Admission,إلغاء المريض الداخلي
Cancellation Details,تفاصيل الإلغاء
Cannot mark Inpatient Record as Discharged since there are unbilled services.,لايمكن وضع علامة خروج  على المريض الداخلى حيث انه عليه فواتير غير مدفوعة
Checked In,تسجيل دخول
Checked Out,تسجيل خروج
Checking this will popup dialog for Appointment Invoicing,اظهار شاشة دفع فواتير الموعيد
Checking this will popup to invoice appointment,اظهار شاشة دفع فواتير الموعيد
Checklist,قائمة المهام
Consent Management,إدارة الموافقة
